Age,Annual_Income,Employment_Years,Loan_Amount,Credit_Utilization,Number_of_Credit_Cards,Number_of_Late_Payments,Debt_to_Income_Ratio,Number_of_Open_Accounts,Has_Mortgage,Has_Dependents,Credit_Score,Default_Probability,Loan_Status
59,55228.12,28,25025.61,0.625,4,1,0.453,1,0,0,608.0,0.4,Paid
49,50373.3,31,7788.6,0.439,7,0,0.155,4,0,0,784.0,0.18,Paid
35,66507.78,10,36893.96,0.088,7,1,0.555,8,1,0,728.0,0.251,Paid
63,69281.98,17,17794.87,0.33,5,1,0.257,8,1,0,719.0,0.245,Paid
28,60030.52,20,1000.0,0.905,2,1,0.017,6,0,0,585.0,0.397,Paid
41,51484.78,11,12381.91,0.257,4,2,0.24,1,0,1,687.0,0.273,Paid
59,77294.72,38,36154.86,0.621,5,2,0.468,12,0,1,591.0,0.433,Paid
39,33785.2,19,9085.86,0.894,3,1,0.269,9,0,0,541.0,0.47,Default
43,73747.57,6,37896.08,0.504,4,0,0.514,14,0,1,628.0,0.364,Paid
31,68393.89,26,16238.8,0.465,5,0,0.237,5,0,0,740.0,0.225,Paid
31,63980.54,6,14959.08,0.181,1,1,0.234,11,0,0,726.0,0.201,Paid
44,59802.09,1,4509.62,0.962,3,1,0.075,13,0,1,523.0,0.475,Default
56,22200.62,32,21169.53,0.214,9,1,0.954,6,1,0,664.0,0.378,Paid
60,87747.05,20,11727.49,0.498,9,1,0.134,4,1,0,719.0,0.269,Paid
44,76773.42,28,14802.42,0.209,9,1,0.193,6,0,1,810.0,0.156,Paid
23,40772.2,31,12882.91,0.374,9,2,0.316,3,1,0,702.0,0.302,Paid
42,75176.19,11,23422.33,0.872,9,2,0.312,9,0,0,513.0,0.54,Default
22,63776.79,12,12952.73,0.648,4,1,0.203,5,1,0,619.0,0.366,Paid
44,48339.96,38,1000.0,0.059,7,0,0.021,7,0,1,850.0,0.01,Paid
64,83835.87,39,6529.54,0.949,1,1,0.078,8,1,1,593.0,0.395,Paid
50,51383.21,2,1810.46,0.779,5,1,0.035,4,0,0,598.0,0.388,Paid
58,87122.53,38,29824.28,0.978,2,3,0.342,7,0,0,454.0,0.588,Default
22,70685.61,7,20976.0,0.759,4,0,0.297,4,0,1,597.0,0.399,Paid
41,79131.17,1,15479.58,0.761,9,0,0.196,5,0,0,629.0,0.381,Paid
53,71581.71,5,13044.95,0.7,5,1,0.182,8,0,1,598.0,0.395,Paid
32,70654.62,14,1000.0,0.444,2,2,0.014,5,1,0,672.0,0.274,Paid
42,64304.61,11,12742.64,0.343,1,1,0.198,4,0,0,694.0,0.245,Paid
64,45463.62,31,24527.77,0.538,2,0,0.54,1,0,0,653.0,0.335,Paid
45,61250.51,5,23186.51,0.216,1,0,0.379,7,1,0,725.0,0.21,Paid
69,78327.82,26,19284.79,0.722,3,1,0.246,7,1,1,611.0,0.381,Paid
47,74385.19,12,1085.71,0.978,8,0,0.015,5,0,0,618.0,0.391,Paid
62,70025.07,22,7675.46,0.609,7,1,0.11,12,1,0,684.0,0.302,Paid
48,18084.93,9,18721.1,0.847,1,0,1.035,5,0,0,412.0,0.651,Default
36,55735.52,13,3519.77,0.21,3,3,0.063,6,1,0,695.0,0.247,Paid
35,53634.22,2,22217.81,0.817,7,4,0.414,9,0,1,401.0,0.667,Default
67,37934.85,11,1684.96,0.894,5,0,0.044,11,0,0,620.0,0.369,Paid
