id_credit,id_client,montant_fcfa,statut_credit,proba_defaut,score_credit_ia,risque_ia
CRD-0000001,CLI-008497,48845803,En retard,0.8709998,300,Critique
CRD-0000002,CLI-006792,601723,En cours,0.3667637,538,Moyen
CRD-0000003,CLI-043502,17267462,En cours,0.31318477,583,Moyen
CRD-0000004,CLI-024039,17680137,En cours,0.5808306,356,Élevé
CRD-0000005,CLI-000195,23224963,Défaut,0.75213754,300,Critique
CRD-0000006,CLI-042662,40504710,Remboursé,0.60507417,335,Élevé
CRD-0000007,CLI-011741,33367884,Remboursé,0.7277016,300,Critique
CRD-0000008,CLI-026637,24995459,En retard,0.8628272,300,Critique
CRD-0000009,CLI-004552,19360513,Défaut,0.825677,300,Critique
CRD-0000010,CLI-021321,29966995,Remboursé,0.6758108,300,Élevé
CRD-0000011,CLI-042592,2618231,En cours,0.23094368,653,Faible
CRD-0000012,CLI-015507,42467885,En cours,0.8546747,300,Critique
CRD-0000013,CLI-003095,24930303,En cours,0.78914243,300,Critique
CRD-0000014,CLI-027736,46932531,Remboursé,0.729797,300,Critique
CRD-0000015,CLI-006097,49263149,Remboursé,0.863525,300,Critique
CRD-0000016,CLI-026426,22190097,Remboursé,0.77812624,300,Critique
CRD-0000017,CLI-023834,39559026,En cours,0.8361641,300,Critique
CRD-0000018,CLI-027015,22105414,Remboursé,0.5718326,363,Élevé
CRD-0000019,CLI-032618,37843198,En cours,0.87596893,300,Critique
CRD-0000020,CLI-005707,17966545,En cours,0.31823814,579,Moyen
CRD-0000021,CLI-034168,43624693,En cours,0.8672459,300,Critique
CRD-0000022,CLI-012865,45178718,En cours,0.79169136,300,Critique
CRD-0000023,CLI-015083,12044970,Défaut,0.6946599,300,Élevé
CRD-0000024,CLI-021088,16644934,En retard,0.75567806,300,Critique
CRD-0000025,CLI-004799,7434673,En retard,0.5514597,381,Élevé
CRD-0000026,CLI-003130,14057684,En cours,0.49786806,426,Moyen
CRD-0000027,CLI-038951,42086950,Défaut,0.83159715,300,Critique
CRD-0000028,CLI-002472,23019657,En cours,0.7030289,300,Critique
CRD-0000029,CLI-029831,18768586,Remboursé,0.67857903,300,Élevé
CRD-0000030,CLI-041760,29351743,En retard,0.842153,300,Critique
CRD-0000031,CLI-035516,48417248,Remboursé,0.8467212,300,Critique
CRD-0000032,CLI-016101,14352978,Remboursé,0.4281136,486,Moyen
CRD-0000033,CLI-012134,30377329,Remboursé,0.8153149,300,Critique
CRD-0000034,CLI-015854,6701250,En retard,0.7007556,300,Critique
CRD-0000035,CLI-014797,6652364,En retard,0.91463304,300,Critique
CRD-0000036,CLI-044826,15584222,Remboursé,0.47489816,446,Moyen
CRD-0000037,CLI-033894,5622387,Remboursé,0.6537636,300,Élevé
CRD-0000038,CLI-034174,15553478,En cours,0.6989538,300,Élevé
CRD-0000039,CLI-026032,9245012,En cours,0.32421643,574,Moyen
CRD-0000040,CLI-009514,31337912,En retard,0.78318155,300,Critique
CRD-0000041,CLI-018436,39471499,En cours,0.73976994,300,Critique
CRD-0000042,CLI-041425,19277895,Défaut,0.6700129,300,Élevé
CRD-0000043,CLI-019499,27894191,En retard,0.83008087,300,Critique
CRD-0000044,CLI-044818,8669162,Remboursé,0.6459603,300,Élevé
CRD-0000045,CLI-043988,21201000,Défaut,0.7890272,300,Critique
CRD-0000046,CLI-017375,27065049,Remboursé,0.7819865,300,Critique
CRD-0000047,CLI-024942,34308761,En cours,0.85643876,300,Critique
CRD-0000048,CLI-004816,40376678,En retard,0.905653,300,Critique
CRD-0000049,CLI-017621,20429194,En cours,0.48284215,439,Moyen
CRD-0000050,CLI-013037,12752378,Défaut,0.52195674,406,Élevé
CRD-0000051,CLI-001193,35995642,En cours,0.81001097,300,Critique
CRD-0000052,CLI-041178,34620661,En retard,0.82879007,300,Critique
CRD-0000053,CLI-030284,44383814,En cours,0.71170396,300,Critique
CRD-0000054,CLI-022529,3010453,Remboursé,0.4027914,507,Moyen
CRD-0000055,CLI-030829,49208681,En cours,0.8330399,300,Critique
CRD-0000056,CLI-025069,9425533,En cours,0.57543623,360,Élevé
CRD-0000057,CLI-037959,15865160,En cours,0.4565479,461,Moyen
CRD-0000058,CLI-033447,13299666,En retard,0.4965989,427,Moyen
CRD-0000059,CLI-022158,26866319,Remboursé,0.7662037,300,Critique
CRD-0000060,CLI-043054,49650729,En cours,0.6203505,322,Élevé
CRD-0000061,CLI-006924,34382102,En retard,0.857867,300,Critique
CRD-0000062,CLI-039560,2809236,En cours,0.5865337,351,Élevé
CRD-0000063,CLI-031257,27852635,Remboursé,0.3883885,519,Moyen
CRD-0000064,CLI-035541,21430269,En cours,0.7261587,300,Critique
CRD-0000065,CLI-008870,41595707,En cours,0.8577866,300,Critique
CRD-0000066,CLI-037755,24021660,En cours,0.7867793,300,Critique
CRD-0000067,CLI-036409,39907390,En cours,0.6397223,306,Élevé
CRD-0000068,CLI-003411,49869363,En cours,0.8314105,300,Critique
CRD-0000069,CLI-014472,26328285,Défaut,0.8450641,300,Critique
CRD-0000070,CLI-022701,26054862,En cours,0.809207,300,Critique
CRD-0000071,CLI-029458,21905823,Remboursé,0.7401911,300,Critique
CRD-0000072,CLI-024502,9822440,Remboursé,0.5418618,389,Élevé
CRD-0000073,CLI-030067,29426822,En cours,0.67907137,300,Élevé
CRD-0000074,CLI-009644,24756917,Défaut,0.8197671,300,Critique
CRD-0000075,CLI-035774,49297692,En cours,0.8172688,300,Critique
CRD-0000076,CLI-040209,1374962,Remboursé,0.420606,492,Moyen
CRD-0000077,CLI-027281,44523777,En retard,0.8284582,300,Critique
CRD-0000078,CLI-020089,530805,En cours,0.03836003,817,Faible
CRD-0000079,CLI-042827,17684639,Remboursé,0.28779322,605,Faible
CRD-0000080,CLI-018802,9450660,Remboursé,0.41174284,500,Moyen
CRD-0000081,CLI-010230,31434443,Remboursé,0.80709404,300,Critique
CRD-0000082,CLI-022792,12596222,Remboursé,0.48928943,434,Moyen
CRD-0000083,CLI-020182,29526749,Remboursé,0.69923216,300,Élevé
CRD-0000084,CLI-000298,39634129,Remboursé,0.8664089,300,Critique
CRD-0000085,CLI-015382,22628384,En cours,0.58282465,354,Élevé
CRD-0000086,CLI-013315,2912632,En cours,0.37139598,534,Moyen
CRD-0000087,CLI-001132,5890916,En cours,0.28895807,604,Faible
CRD-0000088,CLI-033751,579572,En cours,0.09807289,766,Faible
CRD-0000089,CLI-001898,42426596,En cours,0.7005276,300,Critique
CRD-0000090,CLI-029321,35276020,En cours,0.6190031,323,Élevé
CRD-0000091,CLI-011415,40755989,En cours,0.85597324,300,Critique
CRD-0000092,CLI-005293,18454798,En cours,0.6744421,300,Élevé
CRD-0000093,CLI-004753,41646823,En cours,0.80002123,300,Critique
CRD-0000094,CLI-026473,45158414,Remboursé,0.79859966,300,Critique
CRD-0000095,CLI-041280,21158922,Défaut,0.7774817,300,Critique
CRD-0000096,CLI-009195,11644841,En retard,0.72801226,300,Critique
CRD-0000097,CLI-042551,32761971,En cours,0.79366267,300,Critique
CRD-0000098,CLI-044411,28210269,En cours,0.8041484,300,Critique
CRD-0000099,CLI-001290,14089847,En retard,0.5742767,361,Élevé
CRD-0000100,CLI-028573,43939869,En cours,0.7555286,300,Critique
CRD-0000101,CLI-011886,3628513,Remboursé,0.4415437,474,Moyen
CRD-0000102,CLI-014216,12770070,En retard,0.5502455,382,Élevé
CRD-0000103,CLI-014287,11773635,En cours,0.4259759,487,Moyen
CRD-0000104,CLI-036605,20699310,Remboursé,0.737164,300,Critique
CRD-0000105,CLI-043759,29132581,En cours,0.7326044,300,Critique
CRD-0000106,CLI-016955,8604161,En cours,0.43204847,482,Moyen
CRD-0000107,CLI-017453,43676492,En cours,0.8209716,300,Critique
